sample,train_score,val_score,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,y_mean,y_std,model_intercept
34,0.5279693235080264,0.34176485903898546,-0.17293937135733856,0.1788851982473144,-0.08963824301546632,0.059355463987468216,1.1922884268027256,0.4716154825392919,-0.48867319493386957,-0.5335629482778463,-0.702281904981628,-0.5638617747367505,0.30275522068698196,0.29706652271580053,0.0,-0.8861679497491829,0.7804332648010291,-0.12873706107687477,-1.1154563692527337,-0.043679461635571834,-0.3429637731966878,29.319259069130734,0.8476885461545076,0.0
35,0.35954425407509794,0.4601695093040933,-0.45083144299943967,-0.532616399075736,-0.587509277962661,-0.5508247911594621,0.7714126512651251,0.618760396144703,0.025753291664432628,-0.5332048274814533,-0.8964877274950422,0.0,-0.15065087434310073,0.25554426640911454,0.0,-0.7165069109552634,1.1716000010277834,-0.17783279935137522,-0.3454765340114813,0.16038356645998172,0.038243134682364704,29.397511370462542,0.770815596128874,0.0
36,0.4668750301925072,0.3720229555899549,-0.4986015141694907,-0.33650884577425405,-0.9340303089498322,-0.7106728359065977,0.6986872766626903,0.553909067674391,-0.9412526106400666,-0.675855301092858,-1.629168509839943,-1.1173895966848837,-0.0394438019542507,0.011343155899757524,0.0,-0.9332874466575937,1.1046846024438561,-0.13087332166215226,-0.08627634062958812,0.18225609924779576,0.30052303245166334,29.156347638714312,0.8686575909011006,0.0
37,0.557180427942165,0.1489741752534971,-0.05170038871282851,-0.2896664916511636,0.30126359160684085,-0.2881834930306798,0.9854431457572448,0.11945682559252341,-0.7901755151714125,-0.3831281204599533,-0.7916007198916082,-1.1460104745399635,0.3205666103427806,0.24336335340528426,0.0,-0.9906088203045365,1.1508894656977329,-0.11094910399215048,-1.1391765836116359,-0.04313723663914737,0.20420621564850924,29.340005414673765,0.9199586631219812,0.0
38,0.5189507070181145,0.2719168387343328,-0.320842251164001,0.2687654064978882,-0.08340523279966539,0.01040068267123308,1.1239645001008716,0.6437176209010794,-0.4410401251538568,-0.3192001007113864,-0.8579929321167357,-1.200586100101855,0.25200411103321935,0.24891354853507722,0.0,-0.34779364459254736,1.3082316413735176,-0.04104421477867658,-1.1906488841186125,0.33692279011783677,-0.3820280347058442,29.18838653257543,0.8880047808049737,0.0
39,0.43763399623057586,0.4589762532841394,-0.6921155291641365,0.22091383542694354,-0.7995659864509834,-0.1516808295521281,0.8569429301968798,0.34311246425210556,-0.8751404795930872,-0.6887454482261707,-1.0946916449610704,-0.4827287171884769,-0.10652669066928085,0.23582888399798574,0.0,-0.5024157454387984,1.570317725430429,-0.12154192361609564,-0.659072032960141,0.16934169509904146,-0.18767594582024688,29.353656839725193,0.7874004411515082,0.0
40,0.4404233873483945,0.4305772813898572,-0.7553000236219061,-0.08262900584422693,-0.8590556015055716,-0.3537764361756796,0.9822557784800675,0.4473265187144649,-0.4548893791818337,-0.2908409508297539,-0.9138405764580164,-1.1001858731670093,-0.08861977348727619,-0.09108425273810819,0.0,0.31440524060372055,1.321206312071047,-0.20778136302943492,-0.48894197647770865,-0.027737200946428398,-0.1326581007182146,29.36191775836972,0.8075054344802938,0.0
41,0.44076302711163595,0.44672129047073683,0.08212910079634105,-0.11486295441877784,0.3453435539129013,-0.05941019813659777,1.1416632358273757,-0.12510678207436154,-0.6329558555115904,-0.44900260927961994,-0.7221496926554091,-1.0908776146392105,0.010446742143795583,0.36479982753109624,0.0,-0.5137494158059254,0.4957760953828593,-0.14108182704924146,-1.2074206511398198,-0.012947385719985476,-0.3224233486290517,29.368964881555907,0.7904222311494289,0.0
42,0.4703861072965444,0.36857717651343214,-0.22364687095777805,-0.3817246789357032,0.017248559806421433,-0.2543344211418516,1.1601936010067848,0.352642854908504,-0.611582690447443,-0.3783998686790484,-0.6137340320088817,-0.7167962876382548,0.3209606339501737,-0.04689361017553958,0.0,-0.26842092828672165,1.2706696704801193,-0.1900848559658853,-0.6792505204425272,0.1727027843098742,-0.49510439573846354,29.39246840775063,0.8084362825143799,0.0
43,0.5478267674671231,-0.013109063645404762,0.4924041711364838,-0.6454746860122952,-0.29715301413417816,-0.5756230040578053,0.848577115368042,0.5692013363042561,-1.0546197891648494,-0.6280216251891029,-1.062752095652501,-1.486524680615022,0.5480052164309029,0.28019266609532933,0.0,-0.8231507567292177,1.0160403339612452,-0.07909550637299086,-0.7120699592290757,-0.04171540187023316,0.10641916371667874,29.398348190875723,0.9053791925645984,0.0
44,0.48700796066692564,0.4390519381708232,-0.22701679215176776,-0.31375490577226783,-0.5157393119212936,-0.4539718173676044,0.9449355794377059,0.5809548611472255,-1.2558242788361147,-0.5089039992297529,-0.9009895207385231,-1.3580694839886436,-0.01447788694868902,0.19480180683465892,0.0,-0.43384186761964566,1.0120780789946882,-0.0672697939923134,-0.5613046170194665,0.21397456249248356,-0.12297441033899431,29.27757798778958,0.8859594798448387,0.0
45,0.5277928458841796,0.28071581252124367,0.03245264180799161,-0.5133727288815078,-0.2994212152146358,-0.2027033738468447,1.089476369055092,0.6430131675866502,-1.1313341379434447,-0.3523643182932957,-0.6191195052180926,-0.8466958247397384,-0.07562738753726356,0.34643754311869174,0.0,-0.5592968629379184,1.1791894892196269,-0.014410548845407855,-0.8834674091811047,0.12489835292625723,-0.24792064885938322,29.261413225914737,0.892914266874983,0.0
46,0.4765467667707256,0.355717244173392,-0.49092573768076203,0.047423138424875486,-0.29747697165847603,-0.2620802685129248,1.2852878720786445,0.8290911351885956,-0.39298538381122244,-0.08364101290038987,-0.9072318018341544,-1.0805324448599518,-0.13491030051149813,0.20168130357166159,0.0,-0.09949302657719176,1.2916789219859168,-0.12248011478766656,-0.7962393775138703,0.14789040697550954,-0.616432409037617,29.40482180293501,0.8550998707529431,0.0
