iteration,ridge_r2,gp_r2,total_r2,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,intercept,matern const,matern_ls,dp const,dot_prod_sigma,noise
0,0.46735808508525034,0.8307598785395744,0.9098558593282768,-0.1986041830231737,-0.17711296732154225,-0.37137951942755104,-0.23296973385488626,1.0628949790886748,0.21840005838823306,-0.6775829435429157,-0.2010102969964874,-0.7403359595767188,-0.3924883452953941,0.121445960693829,0.05131154597414264,0.0,-0.595180020251522,0.8560387106095656,-0.20527574052532513,-0.8356079102904667,0.030827389474656543,-0.15648328556474433,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
1,0.4529232903443374,0.8389755773846629,0.911907547476411,0.03511417610489423,-0.23002145825934056,-0.3285949056640327,-0.16519322369862308,0.9795926187572219,0.0019321433015890852,-0.5641063758543543,-0.21683797038287744,-0.5662324947772721,-0.1982576212191998,0.17525035969130276,-0.004623873471063067,0.0,-0.5040687890964725,0.47953645530759653,-0.21095056409916818,-0.7930844594204915,-0.04062313841293169,-0.13117013776748293,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
2,0.4373673861315268,0.8407100746594333,0.9103909050078902,-0.016678479213944074,-0.24954262028536695,-0.37561285375882475,-0.1287029760131527,0.914712183576937,0.030354459740894135,-0.4474030643133511,-0.19663884588333652,-0.4241584781769949,-0.15293335326422425,0.17375640491820593,-0.061347546857298006,0.0,-0.2555989488185818,0.3708808838934647,-0.1920949935441968,-0.7005779425626828,-0.07264731883122508,-0.12388021928944153,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
3,0.41717420380332915,0.86605444040026,0.9219881145280503,-0.025076316488801226,-0.2624815477614149,-0.3618344204640691,-0.15365819884386808,0.8301898135257026,0.048471796313737256,-0.28787864207503516,-0.1656275181309287,-0.28568305558692486,-0.14430776535397463,0.09856828592393443,0.004097198212729171,0.0,-0.2736034696411788,0.35044238201471095,-0.16410873529336606,-0.5972953438549764,-0.020434527746172913,-0.11570038429455001,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
4,0.4009215003781633,0.8541886119801694,0.9127698752083966,0.005664023417598862,-0.2676690716965413,-0.2990302812174072,-0.13856935269695336,0.8022209386391413,0.057875737462645835,-0.31068078673167254,-0.14364338166480933,-0.2518698073804827,-0.09848399609775234,0.06695478814022282,0.025980934995394007,0.0,-0.2666197139425475,0.29819834886131646,-0.14810897319075553,-0.5046073287406875,-0.053570682320589876,-0.16006748441225532,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
5,0.38574181717886324,0.8737172384786186,0.9226236720844476,0.07010906931872052,-0.17143455881598224,-0.21982538993410375,-0.11866145433007232,0.7826238556810581,0.013434527655688566,-0.2906058206291658,-0.0885363003391109,-0.2250870958763905,-0.18983299710560086,0.02171637832577996,-0.05352248989503285,0.0,-0.22685807586387094,0.22585114380710322,-0.1585500886795304,-0.4894593585067084,-0.04189748269626496,-0.17794416878200922,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
6,0.36757446046870734,0.8743197510492775,0.9205549634456922,-0.02145524141660256,-0.24062383592922598,-0.21204546070419203,-0.094196764387604,0.676208244284205,0.037246937119604494,-0.33775639372095656,-0.12650340421182182,-0.21970868859214254,-0.09048463040013796,0.11883139756998155,0.008702755689976497,0.0,-0.2571812358913235,0.18224609891651936,-0.1784800439935474,-0.41892888419489427,-0.034506433446538594,-0.1394649068298187,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
7,0.3409647784583061,0.8661637951153307,0.9118961066991145,-0.052910722826011926,-0.16099236269988768,-0.13702559601501227,-0.06152205447844392,0.6021222326354381,0.055812530622126835,-0.2839100370024502,-0.17798225842655405,-0.284758998291823,-0.08037273342635752,0.12756913529690325,-0.022274375690279912,0.0,-0.19393270438347807,0.16953245652507315,-0.17343614278983108,-0.4122913693751357,-0.02149801396876484,-0.0930249007075476,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
8,0.3179726759630337,0.8927890951578837,0.9269425114259447,-0.04370714211656259,-0.16533081190962307,-0.1762225897887496,-0.0527334128836738,0.5502475552535759,0.05994944562880162,-0.31757176353161176,-0.03963240874276936,-0.1938660855612608,-0.06450780580695273,0.10948589840801788,0.005975980893864039,0.0,-0.22584897153008593,0.30075130158495533,-0.17505081404006745,-0.3010923028013241,-0.0693930887035272,-0.10827072399658248,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
9,0.3024506416013871,0.8928751006863966,0.9253662626972742,-0.05748844618638993,-0.22806852602472158,-0.12054700518307368,-0.0326572091199298,0.5117505845863708,0.05440368158243489,-0.2679243871117963,-0.08810287410404143,-0.24280855024716913,-0.10360778917681708,0.048909047677109095,-0.029272409965446913,0.0,-0.19199203822231417,0.2296501655615653,-0.15387175486494678,-0.29652937325325934,-0.05370844143378341,-0.09045241690731826,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
