iteration,ridge_r2,gp_r2,total_r2,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,intercept,matern const,matern_ls,dp const,dot_prod_sigma,noise
0,0.46735808508525034,0.8762359593905021,0.9340782611680396,-0.1986041830231737,-0.17711296732154225,-0.37137951942755104,-0.23296973385488626,1.0628949790886748,0.21840005838823306,-0.6775829435429157,-0.2010102969964874,-0.7403359595767188,-0.3924883452953941,0.121445960693829,0.05131154597414264,0.0,-0.595180020251522,0.8560387106095656,-0.20527574052532513,-0.8356079102904667,0.030827389474656543,-0.15648328556474433,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.01
1,0.45201892049089,0.8824386179799258,0.935582091672265,-0.0867617301003947,-0.31937445148203497,-0.23634378646134394,-0.2630900927248834,1.0334032227859498,0.084913059035142,-0.5031451240890711,-0.19662315488664403,-0.48778076063717785,-0.13407011056086895,0.160105990440078,-0.08512285046578506,0.0,-0.3761916715086779,0.4705363567074182,-0.1956439379420298,-0.7676084424721085,-0.021614638156350556,-0.15689533875596445,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.01
2,0.4371308270895857,0.8814121326949783,0.9332514051464308,0.13734026558973106,-0.27405140868965666,-0.2925568132197014,-0.18435740658143193,0.9870052262927568,0.012158906385317544,-0.32428505033836447,-0.2319582716881161,-0.40449222517709493,-0.06802623071648575,0.12904739419611855,-0.04697768255913236,0.0,-0.27034788435176976,0.25499363304398825,-0.19107950124350168,-0.7333009696575505,-0.04593816559648316,-0.20897090114357159,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.01
3,0.4284352839853752,0.871356698625143,0.9265072118225789,0.14106557741282144,-0.2936942520327429,-0.26430209598299165,-0.21032855849251517,0.9211216192106001,-0.005179800413799724,-0.2826653584332678,-0.23126664250565854,-0.42504189611891746,-0.06475275557171221,0.10931165933911442,-0.09130266232638799,0.0,-0.20697430496304176,0.19859115753332396,-0.1718780096146822,-0.6961520548169999,-0.026670969687484572,-0.13763727978635507,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.01
4,0.4211913632004929,0.8463250884392765,0.9111007239090876,0.11990259399066942,-0.33850120021969216,-0.2586205142781856,-0.23526916252089106,0.8731037376027275,0.1009533958660896,-0.32827883107777084,-0.19904818411163913,-0.3935438958090942,-0.07572347286960239,0.17663793375866443,-0.06242930259752293,0.0,-0.2177301989779821,0.40576221285239333,-0.13959866584297365,-0.5722337623059406,-0.08071100266368107,-0.15774334676419127,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.01
5,0.4226927159600762,0.8782382106527086,0.9297211272443102,-0.003416766852067262,-0.26877088422471274,-0.27377925791965085,-0.18041844998905582,0.8338207609067396,0.07205228923723943,-0.37969096658377804,-0.2124225855954158,-0.5562311019760435,-0.18371686469680204,-0.012590011600586022,-0.03353096355995675,0.0,-0.358914392461353,0.36698112361466306,-0.13105988530228707,-0.5781911822306157,-0.06922645174686101,-0.14180528248023597,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.01
6,0.3967912938132657,0.8847622313279954,0.9305241746444372,0.007321613266748536,-0.2712234653505102,-0.27075545043504323,-0.14686069844749441,0.7216125673990758,0.05168962731852046,-0.3479803889282856,-0.0368675512178813,-0.3316851237006167,-0.09149531341618285,0.046509974104348616,0.015425988994889457,0.0,-0.276518688692451,0.319947614426142,-0.13949901276597432,-0.5510528127154387,-0.027248851806217132,-0.06639295281843606,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.01
7,0.39248536396900535,0.8846473323479099,0.9299446406015329,-0.05653567519682994,-0.2082443700028676,-0.32945783948662266,-0.12842793292789137,0.7079144755486935,0.11744533254370657,-0.3068702843418025,-0.038360875758765796,-0.3378637497102587,-0.06748822318972689,0.06296278972146369,-0.017806387334295688,0.0,-0.2261592169607263,0.23345138216500122,-0.16292322213655214,-0.5428418404513982,-0.08091934475453781,-0.022720191561594095,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.01
8,0.3727509235144375,0.9014101030186175,0.9381913715407824,-0.052982582122427305,-0.16201484614218217,-0.3864123108171386,-0.058374863765624854,0.6762267667073055,0.06606728884922541,-0.2681884481411956,-0.05460395900325929,-0.25849913847708894,-0.06455050459053349,0.05277580337785731,0.023909624372863078,0.0,-0.19815727409963116,0.2139995170934304,-0.1312429909678358,-0.4892199390803254,-0.042276948927003115,-0.10302853292721853,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.01
9,0.35815894286913075,0.9018708643124824,0.9370597478062326,-0.060591639114450015,-0.24546851364636535,-0.268713186910731,-0.11232028882669086,0.6675297285027589,0.021627208979922926,-0.17364052810242436,-0.06726634289707001,-0.18803209884788533,-0.05751654608358962,0.07760505622740178,-0.023327394111718608,0.0,-0.1447997271797335,0.11784361437809489,-0.10275862817693819,-0.45130799193586746,-0.01758995254529686,-0.1256829889828459,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.01
