iteration,ridge_r2,gp_r2,total_r2,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,intercept,matern const,matern_ls,dp const,dot_prod_sigma,noise
0,0.46735808508525034,0.5019035175750839,0.7346936471544576,-0.1986041830231737,-0.17711296732154225,-0.37137951942755104,-0.23296973385488626,1.0628949790886748,0.21840005838823306,-0.6775829435429157,-0.2010102969964874,-0.7403359595767188,-0.3924883452953941,0.121445960693829,0.05131154597414264,0.0,-0.595180020251522,0.8560387106095656,-0.20527574052532513,-0.8356079102904667,0.030827389474656543,-0.15648328556474433,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,4.0
1,0.44428443378006277,0.5667563807735904,0.7592410794360634,-0.159184555903175,-0.20507328416428758,-0.2924831304797169,-0.089957386822892,0.9164282338871191,0.16951470238559854,-0.6311689353576643,-0.26235504844187596,-0.6125083765528578,-0.2808086176759109,0.17143966517908618,-0.010021181678133307,0.0,-0.4974128278266652,0.6339452886595542,-0.1793388782598686,-0.6529973639845651,-0.06537348271485685,-0.22441364703344072,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,4.0
2,0.42591127291984643,0.5635341927115296,0.7494590826614316,-0.18957836173871673,-0.234822904266669,-0.23543969252484653,-0.011519193175766065,0.8569780702600676,0.12635907870578594,-0.5830118879654514,-0.30103223185333733,-0.5547964826125142,-0.2959317502172227,0.19649973754194422,-0.01105545223888399,0.0,-0.47071601238519173,0.6157806331778294,-0.20060359311198303,-0.5641978823346201,-0.03814363795089383,-0.26729702518114995,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,4.0
3,0.4198120137279826,0.5879454866398017,0.7609892467886734,-0.17568733930213049,-0.22369741362153256,-0.3024227028206442,0.04400242975376832,0.7903920884229713,0.11928828523819823,-0.6157505626645403,-0.285635930498768,-0.6236098368983954,-0.2876919114213364,0.19624987076010933,0.003828402286497658,0.0,-0.49471993648453627,0.6587073839490982,-0.20680400327594323,-0.5669153632872339,-0.05077190651262009,-0.1937683977158483,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,4.0
4,0.4002261250839103,0.6036418715776077,0.7632775333854376,-0.13148363553238065,-0.1991346885730177,-0.2743087947452027,0.10955084346102695,0.7783493526710678,0.15476731696835297,-0.5657251406622812,-0.2274049172078865,-0.5227800534944116,-0.2846748403691025,0.19427529892486442,0.0041889677428503585,0.0,-0.4607004545395532,0.585650185246897,-0.2155085566971688,-0.5127339971422693,-0.05390700715455157,-0.20176208714560626,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,4.0
5,0.3900902055792015,0.599746926160484,0.7576504511301638,-0.16988059299257283,-0.20434507397630428,-0.1875337450666505,0.07305981428832058,0.777434517067396,0.1602838661328313,-0.5848859066028879,-0.27112134422824713,-0.5266545658081924,-0.2467667947782451,0.21706123974799194,0.01097295801551799,0.0,-0.4325976066835213,0.6125287882082474,-0.1998134665793812,-0.4492536252481693,-0.03867939577518162,-0.2237320960260797,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,4.0
6,0.38177127422173107,0.6154984301846849,0.7638097128995854,-0.29037080646906316,-0.1880376406845593,-0.23247432936629728,0.19341642603601408,0.7770395835903904,0.062149626387707727,-0.5749377745804666,-0.23073494607642936,-0.5619515832756024,-0.2764588878925056,0.23518984902706908,0.01957979057356027,0.0,-0.45994627841363006,0.6051309728115946,-0.20182794553912167,-0.4686304620539716,-0.07262244703615606,-0.25530400216211396,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,4.0
7,0.37552354825951517,0.6228624319860807,0.766972530817805,-0.24356898262694057,-0.14547075588583155,-0.2434772339509791,0.15810570739446383,0.7768393687542395,0.12594844179624637,-0.5386985588396553,-0.21962899489684412,-0.48542053692064374,-0.25123852469127006,0.2010716420423108,0.048560872617766364,0.0,-0.4245620578194254,0.5870345627779227,-0.2222203106521424,-0.41824683943608915,-0.04075266239850702,-0.2484331382080256,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,4.0
8,0.360856494362533,0.6138507781449427,0.7579184784745511,-0.19193980221276807,-0.1913227273012584,-0.24223149500859642,0.2031473246328993,0.7721519215836254,0.13136438345284093,-0.4988164127522194,-0.2018223173771464,-0.47496584295645555,-0.25971965767072264,0.19626446848521337,0.0031219452784141837,0.0,-0.4126052126565188,0.5181939045430364,-0.2113363250956195,-0.39502236038563143,-0.05432679756723279,-0.23325376355755753,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,4.0
9,0.3669294446410174,0.6220188625750205,0.7662056021014865,-0.2114996425653677,-0.21194610523421806,-0.276334342043235,0.19870077582625084,0.792774711005277,0.13466895846411914,-0.5451207236585458,-0.25048696203387005,-0.49685394820238976,-0.27674342325578405,0.23660376996497162,0.026056037312402826,0.0,-0.453335664577089,0.5506279391341221,-0.21664004261444478,-0.38429771823977227,-0.046500954114647025,-0.22732342219871496,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,4.0
